video_name,caption01,caption02,caption03,caption04,caption05,caption06,caption07,caption08,caption09,caption10,caption11
-YwZOeyAQC8_15.mp4,A man playing on the wii which is making the baby chuckle while the dog ignores them from the other sofa,"A man in shorts sits in a chair next to a standard lamp, with a smiling baby on his lap, operating a Wii remote controller, while two small dogs are sat on a nearby sofa",A man with a baby on his lap playing Wii,father & child enjoying a show,"A man sits playing video games on his TV while holding a baby, with two small dogs resting on a nearby sofa",,,,,,
1AIVH5cEWrI_35.mp4,Two young women are facing one another and swaying side-to-side while singing. ,Two friends singing and swaying together while looking into each other's eyes.,Two women sing together.,Two girls are dancing close together and facing each other.,Two females learning how to sing together in harmony.,,,,,,
2-8-0-2-5-4-8-8-5028025488_7.mp4,A little girl around 6 years old is paging through a picture with her toddler sister,two siblings reading the book,two young children reading a book together,Two children reading a book together.,"A young girl sits looks at a book, turning the pages, while a younger child looks over her shoulder",Girl and boy watching book,"Two children are reading a picture book; the older one turns a page and looks at it intently while sitting, and the younger one stands and points at it.",A young girl is reading a book and her little sister points to something on the page,"Two toddlers flipping through a children's book
","A girl in a pink dress is looking through a book and her sibling is standing next to her, watching as she does this ",two sisters reading a book
3PJaYWt0cws_5.mp4,"A boy riding a skateboard down a ramp
",A boy riding a skateboard going down a ramp,A boy is going down a ramp on a skateboard and another boy is sitting watching him.,A boy is riding a skateboard down a fairly small skateboard ramp whilst another boy watches him.,A young boy is skateboarding down a ramp.  Another boy is sitting on the edge of the ramp watching him.,A boy is skateboarding down a ramp whilst another boy sits on the edge of the ramp and watches.,A young boy skateboarding at a skate park.,,,,
7-5-1-0-3-6-9-8-3775103698_9.mp4,two people discuss plans for a playground,Two people are looking at a basketball court map.,A woman is talking to another woman about a poster showing a playing field and gesturing her hands at the same time.,One person is looking at and motioning towards a picture of a stadium and the other person is looking and listening.,Q woman explaining a picture to a man.,,,,,,
8-6-0-3-9-6-6-0-19586039660_4.mp4,Two kids playing with a toy dog.,Kids playing with a teddy of cat or dog ,"A girl and boy are playing with a toy cat, the girl picks something up and then sits down, the boy then reaches for his turn.",two children interacting with what appears to be a toy dog.,two babies play with toy,Two small children are playing with a toy in their living room.,,,,,
9hlyu-wDkg4_4.mp4,Two men are outside and talking.,"two males are talking about their gardening plans, and are preparing for the hot work.",Two men look around and talk.,"There are two men, who seem to be discussing something, and one of the men, with his hands in his pockets seems to be dominating the conversation. ",Two adult males conversing in front of a house.,,,,,,
9jw7D-exQDg_77.mp4,two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks,A little girl sings with a older female,A lady and a young girl sing into a microphone.,"Two girls, one significantly younger, sing into microphones at home.",2 sisters are singing together,,,,,,
FJzKgF-nR0E_15.mp4,The baby in the bouncy chair and the adult are enjoying a good time together.,A woman tries to entertain a baby.,child playing with a baby,A woman playfully laughs at a child who looks back at her.,A baby is playing with there toys well an older girl is laughing with them.,,,,,,
FSQ2vBJ0hmw_20.mp4,Two very young babies are laying down on their backs and mildly squirming their legs. ,Two young babies in baby gros together laid down.,Two young babies are wriggling side by side in a cot.,The babies are laying in the bed,"Two babies are lying in the cot kicking their legs, one on his back the other is on his front",,,,,,
IkTAuzVeD2Q_46.mp4,"Two children are in a kitchen, the elder child is feeding the younger one.",A young girl who appears to perhaps be an elder sister is holding out a spoon of food and feeding it to a younger boy in a high chair wearing a bib. The young boy is taking the food and has food around his mouth and front.,Toddler feeding her baby brother or sister,A child feeding another.,one child feeding another in a highchair ,,,,,,
WJ-84ioZqcc_41.mp4,Two little brothers are laughing and playing together on a bed with their toys in their little hands.,Two children laugh and play with a basketball and a football. ,two children playing,Two children play with toy balls on a bed.,Two young children are playing on the bed,,,,,,
b7y36KyAIoI_120.mp4,A woman has baked some treats and a man looks like he is complimenting her work whilst tasting.,A woman laughs in a kitchen.,A man is describing and discussing food with a woman beside him in a kitchen.,Man speaking to female cook whilst trying food,"A man and a woman are standing in a kitchen, observing a plate of food. The man reaches for the food while the woman smiles.",,,,,,
bing-heavy_com_entertainment_2017_10_this-is-us-spoilers-chrissy-metz-kate-singing-songs__249.mp4,A woman is singing to a man on stage.,a sister on the stage singing a song to her brother,Woman singing towards a man. ,A lady is sitting down and speaking into a microphone,A woman is talking or singing into a mic while looking at a man that is partially off camera.,,,,,,
eJRbWjg73fE_116.mp4,An adult and child cooking,A dad teaching a boy how to cook a dessert.,Father showing teenager how to cook,a man with his son in the kitchen,Baking a cake.,,,,,,
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,Two men fishing by a very windy coastline.,"Two people quietly fishing by the ocean, waiting for the fish to bite.",Two people sea fishing on the edge of a metal fence.,Man playing with his fishing pole while a woman stands next to her fishing pole.,"Two people are separately fishing at a beach, they are not together.",,,,,,
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,2 teenage girls performing musical act,Two women are on a stage singing. ,"A girl is sitting on the floor playing the guitar, while another girl is singing.","Two people are performing on stage, one sitting playing guitar and the other standing singing. They are aware of each other but not interacting.","on a stafe with a black curtain behind them, a girl in an open checked top holds a microphone while a figure sits cross legged on the floor playing guitar",,,,,,
flickr-0-6-1-2-0-7-8-4-4606120784_26.mp4,A drummer and a pinist playing together ,A man playing the drums and another man on the keyboard,Two musicians are playing musical instruments.,Two men are playing music together. One is sitting at his drum kit playing the drums and one is sitting playing a keyboard. They look like they are a band practising.,One person is playing a keyboard and may be singing as there is a microphone in front of his mouth.  Another person is playing a drum and cymbal set.,"One person is playing a keyboard, perhaps also singing and another person is playing a drum and cymbal set. ",A man singing & playing the keyboard while the other plays drums.,,,,
flickr-0-9-3-5-5-6-6-9-5809355669_3.mp4,The adult is holding the baby's bottle and pretending to suck on it while the baby is laughing about it.,A baby laughs at a man drinking through a straw.,man playing with a baby,A man is drinking a drink whilst the baby is laughing at him.,A man is drinking something from a straw well a baby is laughing at him,,,,,,
flickr-0-9-4-9-7-9-0-1-3009497901_3.mp4,The child is showing the baby the book.,Baby watching a child read them a picture story. ,A young child reads a book to a baby.,a brother reading his baby brother a book ,One child showing his baby sibling a book,,,,,,
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,One toddler tickles another with a feather duster,a baby is tickling another baby with a large brush,A child is waving a yellow fluffy duster to amuse a baby in a highchair.,todler touches baby head with duster,Playing ,two toddlers with one with a feather brush tickling the other toddler with it.,,,,,
flickr-1-1-2-0-2-4-6-6-7211202466_8.mp4,A couple hiking with some dogs,A man and a women hiking with 3 dogs behind them,A man and a woman are walking dogs in the forest.,Two people are out for a walk in the woods with either their own dogs or they have passed some dogs whilst out walking.,A man and a woman holding a lead are walking in the foreground with some dogs in the background.,A man and a woman hiking with 3 dogs.,,,,,
flickr-1-6-4-12557575164_3.mp4,A man and a small girl on a cart that is being pulled on a small track line.,The girl smiles at the van as they are moved along the track.,An asian man and daughter on a rail track.,Man and girl travelling on railcart.,"A parent and their child are riding a cart on a track together, smiling and posing for the camera.",,,,,,
flickr-1-8-1-1-6-5-4-7-6118116547_81.mp4,father reading to a young baby,A man is reading to a baby. ,"A father is reading to his baby, who is pointing out things in the book, while he is on his knee. ","A father is sitting with his child in front, on his lap, as they read a story book together",a man sits on a sofa reading a book with an infant child sat on his lap pointing at the pages,,,,,,
flickr-1-9-7-9-4-8-8-5-5319794885_45.mp4,two men working while sparks fly in the background,Two guys work in a kitchen with a big flame in the background.,Two people in a kitchen and one of them is carrying a silver pot.,One man picks up a pot and carries it across the kitchen as another man walks past him looking at him.,A cook preparing a meal.,,,,,,
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,looks like a chef is showing a student on how to decorate the pastries .,"Fast worker puts topping on small cakes in a kitchen, with someone paying close attention.",one man is frosting cupcakes while the other man is watching and paying attention,Looks like someone trying to bake & beening shown how to do it.,A man decorates a baked good while another watches.,,,,,,
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,Two men are looking at a computer.,Two men looking at a computer screen with one man pointing something out to the other,One man sitting at a computer while another man behind him points something out to him on the monitor.,a guy teaching and showing another guy something on a computer ,two men looking at a computer screen and one man pointing something out,,,,,,
flickr-2-2-8-4-6-0-2-0-8222846020_11.mp4,Two people stand facing each other while one talks to the other,One man speaks to another man.,A man is explaining something to another man right in front of him.,Man speaking to woman in front of door.,"Two young men talk to each other in front of a door, while standing a few feet apart.",,,,,,
flickr-2-3-8-6-9-3-6-0-2823869360_23.mp4,Two babies are standing on opposite sides of an open drawer and playing with the plastic containers that are stored inside the drawer.,two toddlers having fun playing and banging around in the tupperware drawer,Two toddlers playing with a kitchen drawer full of Tupperware.,Two babies are playing with Tupperware inside a drawer,Two babies are playing in a kitchen drawer happily banging around Tupperware.,,,,,,
flickr-2-8-2-7-7-6-8-9-3028277689_11.mp4,An older brother is trying to play pattie cake with his little baby sister who's seated in her safety seat.,Siblings interact playfully with each other.,child playing with a baby,A boy plays with a babies arms whilst the baby is resting.,One older child is holding the younger child by there hands and putting them together,,,,,,
flickr-3-2-7-8-3-1-4-7-16232783147_5.mp4,A mother makes silly noises/faces to amuse her child.,A mother playing with her baby,A woman is playing with a baby who is laughing.,There is a woman playing with a baby - she smiles then makes a repetitive sound and moves her head forward three times while the baby laughs at her.,A lady seems to be pulling faces at a baby in front of her who responds with smiles and laughter.,"A mother playing with her baby, making him laugh.",cute child laughing at mommy,,,,
flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,A young women seems to be enjoying that the boy is trying to brush the teeth of the dog.,A boy attempts to clean the dogs teeth whilst his mother leans forwards giving encouragement,a boy is trying to brush a dog's teeth while a woman films it,Playing around like idiots trying to brush the dogs teeth,A boy washes a dogs teeth while a woman looks on,,,,,,
flickr-3-5-1-9-5-7-1-6-5535195716_54.mp4,The two boys are playing with the toys in the bathtub. ,2 children in the bath,Two babies in a bathing tub playing with the dolls.,Two small children are sitting in a bubble bath facing each other and they are playing with plastic bath toys,Two young children in a bubble bath together playing with toys and the younger child is chewing on a toy.,,,,,,
flickr-4-0-4-9-3-3-4-4-15540493344_49.mp4,A man and a child play violins together in a living room.,The kid and the adult are playing violin ,"An adult and a child, each with a Violin are playing in tune.",Playing the violin,Father and son playing their violins together.,,,,,,
flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,A old lady is making silly faces to a baby.,"an old lady is cheerfully tickling her grandchild while laughing and having some fun, and also doing some tidying up at the same time.",An older woman tickles a baby.,A woman is enjoying interaction with a baby and enjoys occasionally tickling him.,An elderly woman who is tickling a baby's stomach playfully.,,,,,,
flickr-4-1-7-8-1-9-6-2-3941781962_7.mp4,A lady being measured for aerobic athleticism. ,one woman fitting a monitor on another woman before excercising,"Two women are doing a task in front of the mirror, the woman in red is adjusting some blocks and the woman in black is stepping over them.",A woman with a knee injury trying to achieve some leg lifting.,therparist set up little block for her patient to practise walking,A woman is learning to walk again after an injury.,,,,,
flickr-4-2-6-5-6-4-7-1-5442656471_12.mp4,A baby is playing with toy cars as the grown up watches.,"a dad is happily playing with his child, wanting to spend some quality time together.","A man, presumably a father, helps a child get down from a table.","The child is playing with a car with, what seems to be his father, then gets down from the table, supported by his father","A child is playing witha car on a table with, what appears, to be his father, and then the child gets down from the table supported by his father. ",An adult and toddler behind a child's table donned with crayons.,,,,,
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,Two women deciding what to eat first.,"a restaurant staff explains what food has been cooked for tonight's dinner menu, while the chef proudly stands by.",Two women discuss some food dishes.,"A woman appears to be being supervised whilst cooking, seems to be unsure of what to do, and looks for guidance from the woman supervising.","Two females at a restaurant, one in chef's attire another in a black crop top.",,,,,,
flickr-4-7-7-6-8-6-8-3-10147768683_30.mp4,2 hikers walking up a path in mountain area.,"Two middle aged backpackers - possibly a couple clamber out of some foliage below the pine forest, up in the mountains.",two men are walking through bushes in the mountains,climbing up the mountain helping each other by the climb,It is a man and a woman who appear to be hiking in a forest,,,,,,
flickr-4-8-3-9-9-3-0-9-6748399309_20.mp4,The man is helping the child stand up on their skis and not fall. ,A child in skiing gear being propped up by an adult and released to move down the hill slightly,A young boy doing ice skating with a help of an adult.,An adult in ski gear and with ski poles has a small child in front of them that they are trying to give instruction to,An adult and child facing each other while skiing on snow and the child is balancing without poles. ,,,,,,
flickr-4-9-9-9-8-3-1-6-25549998316_29.mp4,a man and a young girl playing cards.,"a child and adult are placing cards on a table, they are smiling and talking to each other",A male adult and a youg girl playing a fun game of snap together.,"A father and his daughter playing cards together, both seem happy.",a guy and a girl playing cards,,,,,,
flickr-5-0-2-0-2-2-2-2-2450202222_18.mp4,Two babies laying on their back on a mat playing with toys.,Two babies lying under a mobile toy.,Two babies laying on the floor and looking up playing with toys.,Babies playing with toys.,Tho babies are playing while laying on a playmat.,,,,,,
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,Two members of a band (a guitar player and a singer) performing a song.,two people on stage singing and playing guitar ,A singer and guitarist on stage. ,"Two people on a stage, one is singing and one is playing the guitar",A man is sitting and playing an acoustic guitar and a woman is standing and singing into a mic.,,,,,,
flickr-5-3-3-2-7-2-4-7-3053327247_9.mp4,"Two boys are practicing their drumming, one of the boys is more enthusiastic than the other.",students in a music class or a concert,"two people playing drums, one is older adult and one appears to be a teen","Two boys both playing the drums on stage, enjoying the beat.",Two drummers beat in rhythm together,Two black guys playing drums,Two young men playing drums together.,Two black teens are drumming,Two men banging on drums,Two men are playing the drums simultaneously ,2 men playing the drums together
flickr-5-4-8-7-2-0-2-6-2454872026_5.mp4,small girl and younger boy dancing,Two kids are dancing around in their lounge. ,A young girl and boy are dancing happily in their living room. ,"Two children, an older girl and younger boy are both dancing and enjoying doing so.",A girl and a boy bounce around a room to music (presumably),,,,,,
flickr-5-5-5-1-2-1-2-0-2755512120_95.mp4,Two small boys reach for each other as they sit next to each other apparently at a table while eating.,The boy is holding the other kid's arm,"Two children, about one year olds, playing with each other.",playfighting,Two young brothers fooling around at the kitchen table.,,,,,,
flickr-5-7-2-8-0-0-7-2-3957280072_16.mp4,Two guys playing guitar while one of them sings,A man singing and playing a guitar,Two men are playing guitars and one of them is singing.,Two men are sitting side by side playing guitars and one is singing into a microphone. They look like they are in a band together playing a song for an audience.,It is two people playing guitars and singing.,Two men are playing guitars and at least one is singing.,Two men playing the guitar and one of them singing.,,,,
flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4,A toddler boy blows air into a red balloon while a baby looks on laughing. ,An older child blows a balloon to entertain a baby.,Big kid blows up balloon while small one laughs.,A small child is blowing up a red balloon while a baby looks on giggling at what he sees.,Two children blowing up a balloon on the floor.,,,,,,
flickr-7-3-3-1-0-7-1-8-2773310718_8.mp4,A person holding a fishing rod and reeling it in.,The man is fishing. ,A man fishing and unwiding his fishing rod while a boy stands and watches,A man using a fishing pole and spinning it.,A young man is fishing along the edge of a lake.,,,,,,
flickr-7-4-1-1-3-9-5-4-8274113954_15.mp4,a father holds hands with their child as they walk,A father holds his young kid's hand while helping him walk.,A man is walking a toddler across a room holding him by the hand.,An adult is holding a toddler's hand and they are walking towards the camera.,A man walking with an infant.,,,,,,
flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,"A woman is cooking and signals to the nearby male to do an action which I think is to pick up a dish, which he quickly does. ","Woman and man in a kitchen with food, the man puts his bottle of beer down.","A woman is in a kitchen and about to carve a chicken and the man watching her, puts a bottle down and goes to help her.",The couple is cooking,"A man and woman are in the kitchen, the man goes to help the lady with some preparation",,,,,,
flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4,mother playing with child in water,A woman and a boy are sitting in the water playing. ,"A woman is sitting with her toddler at the swimming pool, while he plays with bucket. ","A mother and child are both sat on the floor of a waterpark or water feature, both are actively engaging with one another.",A woman and a young child wearing bathing costumes and swimming caps sit on the edge of an outdoor pool filled with fountains,,,,,,
flickr-7-8-3-9-5-6-9-1-3078395691_54.mp4,two babies sitting on a carpet.,two babies sat and laughing at a toy being waved off camera to their right,Two young babies giggling and finding the world funny at Christmas time.,"Two babies sat next to each other, both laughing","two babies sitting down, one looks like it's laughing",,,,,,
flickr-7-8-4-4-1-9-1-7-2878441917_1.mp4,"Two men are playing drums, one is standing a singing simultaneously, whereas the other is seated. ",Two people playing musical instruments together.,Men are playing in a band.,"Two men are playing different sets of drums, with one sitting down and one standing up swaying to the rhythm.",Two band players playing the drums.,,,,,,
flickr-7-8-5-0-9-0-9-0-4078509090_12.mp4,I mum feeds her toddler some food directly from her finger,a mum is trying to get her baby to eat something off her finger,"A wriggly, young child is being comforted by an adult.",woman feeding baby,Feeding a baby,this looks like a mother feeding her baby some food during their meal.,,,,,
flickr-7-9-6-9-9-2-6-7-5479699267_3.mp4,A young man is seen walking  with a baby in a stroller in the a neighborhood.,"A man with a heavy looking sports trike pram, witha one year old strapped in sitting up.",a man in a red shirt is pulling a buggy with a child inside it,Father taking is child for a walk in is pram.,A man backs up while holding a stroller with a child in it.,,,,,,
flickr-8-3-1-6897055831_10.mp4,a young boy is teaching another boy how to read.,A reading test with an adult pointing put the words to a boy.,the man is pointing to words on a book while the child reads it aloud,Child beening taught to read,A person points out words in a book while a young child looks on.,,,,,,
flickr-8-4-2-6-5-3-9-1-9784265391_7.mp4,a mother holds their baby as they cry,A mother wipes off her young son.,A woman holding a baby who then vomits so she catches the vomit with the blanket in her right hand.,A woman is holding a baby on her lap and the baby is sucking on her hand.,A woman playing with a infant.,,,,,,
flickr-8-7-2-6-6-0-0-8-3387266008_18.mp4,A little girl is taking her bath while her baby brother plays with the shelf.,two kids playing in the bathroom while one is in the tub ,"two children in the bathroom, one older in the bathtub and a younger child outside of the bathtub","Two children in the bathroom, the older one in the bath and the baby playing with something on the shelves.",An older sibling in the bathtub with a younger sibling outside the tub,Two kids in the bathroom,Two babies or toddlers are in a bathroom; one bathes while the other examines something in an adjacent shelf.,"Young girl in a bath in the background, and a baby with a dummy looking at items on a shelf",A toddler bathes while a baby plays with bathroom supplies,A child is in the bath and their baby sibling is rifling through the cabinets adjacent.,little girl in the bath while her even younger brother is looking through toiletries 
flickr-8-9-7-9-5-0-4-1-6189795041_19.mp4,"Two people are outdoors in a field, one is standing on a quadbike while the other appears to hit a trolley with a large hammer.",A man is standing above some beat up looking supermarket trolleys. He has some type of hammer or device and seems to be making smashing motions on the trolleys. Another man in a type of vehicle is standing on it and watching from behind. ,Man that is about to destroy/dismantle a shopping cart with a steel hammer,An individual fixing up shopping carts.,"one man hitting some metal with a hammer, man in the back looking on",,,,,,
flickr-9-3-0-5-5-4-4-2-3593055442_11.mp4,The boy is using the microphone as the woman watches behind him. ,A child speaking into a microphone,A boy holding a microphone and an adult beside him.,An adult female is sitting behind a young male who has a microphone in his hand up to his mouth,A young male child sining into a handheld microphone while an adult female standing behind is pointing at an open book before retracting their hand.,,,,,,
flickr-9-3-2-2-7-4-6-7-4593227467_2.mp4,two men walk along some rocks trying to keep their balance.,Two boys hike through a jungle path.,Two guys are walking down a step of dropping/uneven stone floors.,Two young men walking over rocks.,Two boys are walking next to a large rock. One of the boys repeatedly touches the rock as he walks next to it.,,,,,,
flickr-9-6-7-8-7-6-4-6-2496787646_9.mp4,"A baby banging cups together, being held by an adult who is facing the baby away from them","A baby, sitting on its mother's knee, banging a plastic cup and lid together, while the mother looks ahead.",A woman holding a baby who is playing with a cup,woman with an inquisitive baby,An adult is holding a baby who is waving around two plastic cups,,,,,,
flickr-9-7-4-6-7-4-5-2-2597467452_51.mp4,A mum holding a bottle of water and the baby drinking out of the water bottle.,mother feeding water to baby from water bottle,A woman is helping a baby take a drink from a water bottle.,A mother feeding her child some water.,Mom cautiously feeds her baby some water,A mother is giving her baby some water from a bottle.,,,,,
flickr_R-1-2-8-9-1-4-3-5-4212891435_36.mp4,"Two children in dressing gowns are sat on the floor, they appear to be playing with books.",Two young children are on the floor. One is a young boy at the front who appears to be engrossed in some type of toy or game on the ground. The other is a younger girl who is holding a book upside down and opening some pages. Neither communicate with each other.,Brother and Sister busy looking at books,Two children reading.,2 kids playing whilst one is looking at a book on the floor,,,,,,
giphy-10TNZYlPEDFR3a_3.mp4,Two children laugh with one waving their arms,a child is flapping his arms while another child is laughing,A young child appears to be laughing as he is playing with another young child.,too toddlers having fun,Children laughing and playing ,there are two toddlers laughing one one is moving their hands in a expressive manner.,,,,,
giphy-5gH28DhukBKlq_2.mp4,A woman throws a balling ball down the lane whilst a man stands nearby watching. ,A woman bowls while keeping one arm strangely straight.,Lady throws a bowling ball while man watches.,A woman is throwing a bowling ball while a man stands by watching her.,"Two people in a bowling alley, one of which is learning how to bowl.",,,,,,
gvztLkrmEIg_137.mp4,Two small children both pushing their own ice-skating trainer on ice.,two small children skating on the ice using aids,Children pushing plastic chairs across some ice or snow.,Two children using plastic chairs to help them ice skate and one falls over forwards,Two kids are ice skating and both are using a beginner handheld assist tool in front of them.,,,,,,
t2z1X76v4ys_178.mp4,A man buffs out some paintwork on a car,A man polishes the trunk of a car.,A guy is using an electric buffer to clean the trunk of a car.,Man machine polishes boot of car whilst another watches from distance,An older man is using a buffing tool on the trunk of a vehicle.,,,,,,
twUN1iwMWgY_1320.mp4,Boy stands behind a young woman and brushes her hair.,The kid is brushing the lady's hair.,"A woman sits on a chair, facing the camera while someone standing behind her is making her hair.",Brushing hair,Son brushes his mothers hair.,,,,,,
vine-A-kid-bowing-a-wheel-JohnnyRandom-MgJUX6q5pV5_1.mp4,An adult watching a child attempting to repair a bicycle.,A man and boy are examining a bike. ,A boy fixing a bicycle wheel while a man watches and encourages,A kid using a stick and hitting it against a bicycle wheel.,A young boy appears to be playing a bicycle spoke like a violin.,,,,,,
vine-Discussing-gopher-problems-with-Frank-from-the-parks-department-hLpauJl9VBw_1.mp4,Man planting a tree infront of a girl.,A man putting his hand in a hole with a girl standing nearby,A man is putting his hand in a hole in the ground as a little girl watches.,"A child is watching a man work with something in a hole in the ground, electrical wires or pipes perhaps.",A man in a high visibility vest looks like he has dug a hole and is putting something into it but it is difficult to tell due to the shadows.  A young girl is watching on.,A man in a high visibility vest has dug a hole and is putting something in it whilst a young girl watches.,A little girl watches as a man digs in the ground.,,,,
vine-MBwjdF6eU79_2.mp4,A person knitting beside someone else using a computer.,A man is knitting while another person is on the computer. ,one man knitting with headphones in sat next to another man on his computer,One person using a computer while the other has on his earbuds using a mobile device.,Young men are at a computer station involved with tech activities.,,,,,,
vine-MKEjBiBY6Fw_1.mp4,Two girl leg wrestling,two people laying on there backs locking legs together,"Two girls are rolling around the floor, playing.",Two young girls are lying on the floor on their backs facing the opposite direction.  They both lift their right leg and then entangle them and one begins to lift off the floor. It looks like a game.,"Two people are lying on the floor, playing about and moving their legs around with big movements.",Two woman playing a game on the floor.,,,,,
vine-MVvgr5hA3JD_1.mp4,A girl drinks water from a bottle ,A girl drinking juice and gagging,A girls is drinking and choking on water and another girl is standing in the background.,A women is leaning against a wall/window and another woman is standing in front of her taking a drink of juice out of a bottle. She drinks too quickly and belches.,A young woman is taking a drink from a water bottle.  She appears to choke on the water slightly and wipes some water from her chin.  There is another woman leaning against a window perhaps observing this.,"A young woman is taking a drink from a water bottle and looks like she has choked on it, spilling a little and wiping her chin whilst another woman leaning against a window looks on.",A girl drinking water and almost shocking.,,,,
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,A boy and girl clapping hands together,A young couple playing pattycake.,Two teenagers playing patter cake together while sat facing each other,a boy and a girl playing,Playing hand games.,,,,,,
vine-arm-wrestling-h6itJarOtiI_3.mp4,A guy is armwrestling a girl and she appears to be pinned and struggles to retaliate.,man beating a woman at arm wrestling,Two people having an arm wrestle,Two people having a strength contest.,a young man and woman are having an arm wrestle on a kitchen counter,A man and a woman arm-wrestling.,arm wrestling showing the winner,,,,
vine-hxLaMMzZhv0_1.mp4,Two girls are sitting beside each other and focusing on knitting their individual items. ,Women knitting on the floor in a bedroom,Two girls are sitting on a bedroom floor knitting.,They girls are knitting in silence.,Two girls are sitting on the floor both knitting,,,,,,
